"","var","rel.inf"
"ThirdParty_Info_Period6_10","ThirdParty_Info_Period6_10",0.367585768862597
"ThirdParty_Info_Period6_7","ThirdParty_Info_Period6_7",0.358209453027105
"UserInfo_13","UserInfo_13",0.357974997867816
"ThirdParty_Info_Period6_4","ThirdParty_Info_Period6_4",0.356988756372516
"ThirdParty_Info_Period2_10","ThirdParty_Info_Period2_10",0.325525264184294
"ThirdParty_Info_Period6_17","ThirdParty_Info_Period6_17",0.318348196608231
"ThirdParty_Info_Period6_11","ThirdParty_Info_Period6_11",0.218737481498959
"ThirdParty_Info_Period4_10","ThirdParty_Info_Period4_10",0.190730836146872
"ThirdParty_Info_Period4_9","ThirdParty_Info_Period4_9",0.169238523712673
"ThirdParty_Info_Period5_10","ThirdParty_Info_Period5_10",0.135663624098267
"ThirdParty_Info_Period3_9","ThirdParty_Info_Period3_9",0
